match_id,date,map,team_a_players,team_b_players,queue
1128841,2025-02-16,Golden Pit,"[386965257660399619, 703469910138814515, 695309066771365970, 584239778740961299]","[522200099783311360, 394425164231868416, 714677532665839667, 714793302582362162]",Domestic
1128818,2025-02-16,Valley,"[229635376212475904, 714793302582362162, 642625499989934080, 321600706769584128]","[401748724021329920, 463259002596360203, 715438374357434401, 732576383208914978]",Domestic
1128806,2025-02-16,Runestones( Random Civs),"[495896198444613643, 229635376212475904, 463259002596360203, 642625499989934080]","[386965257660399619, 401748724021329920, 715438374357434401, 321600706769584128]",Domestic
1128779,2025-02-16,Migration (Random Civs),"[495896198444613643, 229635376212475904, 394425164231868416, 642625499989934080]","[386965257660399619, 635025856313557033, 256497330662932481, 321600706769584128]",Domestic
1128748,2025-02-16,Steppe (Random Civs),"[495896198444613643, 703469910138814515, 714793302582362162, 715438374357434401]","[386965257660399619, 401748724021329920, 463259002596360203, 584239778740961299]",Domestic
1128726,2025-02-16,Arena Island (NC Zone) (Random Civs),"[386965257660399619, 394425164231868416, 401748724021329920, 321600706769584128]","[495896198444613643, 470492953983582219, 635025856313557033, 732576383208914978]",Domestic
1128722,2025-02-16,Oasis(Random Civs),"[495896198444613643, 703469910138814515, 714677532665839667, 401748724021329920]","[386965257660399619, 635025856313557033, 394425164231868416, 732576383208914978]",Domestic
1128707,2025-02-16,Nomad (Random Civs),"[714793302582362162, 754608550721880144, 715438374357434401, 642625499989934080]","[470492953983582219, 463259002596360203, 945283728643608619, 321600706769584128]",Domestic
1128696,2025-02-16,Mega Random (Random Civs),"[635025856313557033, 714793302582362162, 754608550721880144, 463259002596360203]","[470492953983582219, 394425164231868416, 715438374357434401, 945283728643608619]",Domestic
1128684,2025-02-16,Rage Arena(Random Civs),"[313042064332029952, 394425164231868416, 642625499989934080, 321600706769584128]","[635025856313557033, 754608550721880144, 463259002596360203, 584239778740961299]",Domestic
1128171,2025-02-15,Rage Forest (Random Civs),"[568857045080473601, 313042064332029952, 714793302582362162, 584239778740961299]","[495896198444613643, 238042803093897216, 1291708538573291523, 321600706769584128]",Domestic
1128025,2025-02-15,Regicide Fortress (Random Civs),"[229635376212475904, 729408870585204857, 394425164231868416, 463259002596360203]","[657452537506562069, 512487301717295104, 715438374357434401, 584239778740961299]",Domestic
1127984,2025-02-15,Hill fort (Random Civs),"[229635376212475904, 512487301717295104, 715438374357434401, 584239778740961299]","[573073267766722561, 1291708538573291523, 463259002596360203, 732576383208914978]",Domestic
1127943,2025-02-15,Land Nomad (Random Civs),"[573073267766722561, 512487301717295104, 463259002596360203, 715438374357434401]","[229635376212475904, 729408870585204857, 1291708538573291523, 503759402206101545]",Domestic
1127918,2025-02-15,4 lakes (Random civs),"[229635376212475904, 394425164231868416, 463259002596360203, 642625499989934080]","[573073267766722561, 512487301717295104, 715438374357434401, 503759402206101545]",Domestic
