match_id,date,year_month,map,w1,w2,w3,w4,l1,l2,l3,l4,w1_or,w2_or,w3_or,w4_or,w1_nr,w2_nr,w3_nr,w4_nr,l1_or,l2_or,l3_or,l4_or,l1_nr,l2_nr,l3_nr,l4_nr,map_only
999410,2024-08-03,2024-08,African Clearing,feedertony,darkknight7282,ninjavarier,,bcappu,Gajini,thiyagup,,1322,1318,871,0,1335,1333,884,0,1561,1164,720,0,1548,1151,704,0,African Clearing
999405,2024-08-03,2024-08,Land Nomad,bcappu,Gajini,thiyagup,,feedertony,vijay1989,ninjavarier,,1543,1146,697,0,1561,1164,720,0,1340,1218,889,0,1322,1200,871,0,Land Nomad
999393,2024-08-03,2024-08,African Clearing,feedertony,vijay1989,Gajini,,bcappu,centurion12,thiyagup,,1324,1202,1130,0,1340,1218,1146,0,1559,1397,719,0,1543,1381,697,0,African Clearing
999384,2024-08-03,2024-08,Land Nomad,centurion12,Gajini,,,feedertony,vijay1989,,,1371,1104,0,0,1397,1130,0,0,1350,1228,0,0,1324,1202,0,0,Land Nomad
998986,2024-08-02,2024-08,African Clearing,mikecbe,thelivi,bcappu,,centurion12,vijay1989,arunaoe,Gajini,1686,1574,1538,0,1707,1595,1559,0,1392,1249,1217,0,1371,1228,1196,0,African Clearing
998968,2024-08-02,2024-08,Land Nomad,bcappu,centurion12,arunaoe,,aravind2705,vijay1989,Gajini,,1522,1376,1201,0,1538,1392,1217,0,1694,1265,1141,0,1678,1249,1125,0,Land Nomad
998942,2024-08-02,2024-08,African Clearing,thelivi,bcappu,arunaoe,,aravind2705,centurion12,Gajini,,1558,1506,1185,0,1574,1522,1201,0,1710,1392,1157,0,1694,1376,1141,0,African Clearing
995867,2024-07-28,2024-07,Land Nomad,mikecbe,thelivi,xpm0083,arunaoe,Thiru,bcappu,f33d3r.raj,thiyagup,1671,1543,1287,1170,1686,1558,1302,1185,1967,1521,1487,739,1952,1506,1472,719,Land Nomad
995853,2024-07-28,2024-07,African Clearing,lotterymartin,xpm0083,vijay1989,arunaoe,mikecbe,thelivi,f33d3r.raj,,1312,1281,1259,0,1318,1287,1265,0,1573,1677,1549,0,1567,1671,1543,0,African Clearing
995709,2024-07-28,2024-07,Land Nomad,mikecbe,bcappu,f33d3r.raj,feedertony,Thiru,thelivi,xpm0083,stylishsteam,1664,1508,1480,1337,1677,1521,1493,1350,1980,1562,1294,1119,1967,1549,1281,1106,Land Nomad
995677,2024-07-28,2024-07,African Clearing,Thiru,mikecbe,thelivi,guerrillawarfare2,fenrir05,bcappu,feedertony,lotterymartin,1964,1648,1546,927,1980,1664,1562,943,1941,1524,1353,1328,1925,1508,1337,1312,African Clearing
995208,2024-07-27,2024-07,Amazon Tunnel,fenrir05,bcappu,arunaoe,Gajini,Thiru,thelivi,ddk220,ninjavarier,1927,1510,1150,1143,1941,1524,1164,1157,1978,1560,1304,903,1964,1546,1273,889,Amazon Tunnel
