match_id,date,map,team_a_players,team_b_players,queue
1119078,2025-02-02,Land Nomad,"[354904864066764804, 511604233267707925, 1093481859607957514]","[1024061084233125888, 1010781418458206329, 715923016412037221]",4v4
1119064,2025-02-02,Land Nomad,"[354904864066764804, 1024061084233125888, 1010781418458206329]","[649505118152294421, 511604233267707925, 715923016412037221]",4v4
1119048,2025-02-02,Land Nomad,"[1033770965127135333, 739435983707308062, 715923016412037221]","[354904864066764804, 1024061084233125888, 1010781418458206329]",4v4
1118687,2025-02-01,Land Nomad,"[573073267766722561, 622810653878648873, 555011931488911374, 1010781418458206329]","[1033770965127135333, 354904864066764804, 1024061084233125888, 328978193312776212]",4v4
1118632,2025-02-01,Land Nomad,"[1033770965127135333, 622810653878648873, 1024061084233125888, 555011931488911374]","[573073267766722561, 354904864066764804, 1010781418458206329, 715923016412037221]",4v4
1118607,2025-02-01,Land Nomad,"[573073267766722561, 622810653878648873, 1024061084233125888, 1010781418458206329]","[1033770965127135333, 649505118152294421, 354904864066764804, 328978193312776212]",4v4
1118589,2025-02-01,Land Nomad,"[1033770965127135333, 622810653878648873, 354904864066764804, 555011931488911374]","[573073267766722561, 649505118152294421, 1024061084233125888, 715923016412037221]",4v4
1118562,2025-02-01,Land Nomad,"[622810653878648873, 354904864066764804, 555011931488911374, 1010781418458206329]","[649505118152294421, 435111409320198167, 1024061084233125888, 715923016412037221]",4v4
1118542,2025-02-01,Land Nomad,"[622810653878648873, 354904864066764804, 828672992976437267, 555011931488911374]","[573073267766722561, 435111409320198167, 1010781418458206329, 715923016412037221]",4v4
1118501,2025-02-01,Land Nomad,"[649505118152294421, 828672992976437267, 354990093980663809, 715923016412037221]","[695276693362835466, 1024061084233125888, 555011931488911374, 1010781418458206329]",4v4
1118497,2025-02-01,Land Nomad,"[828672992976437267, 555011931488911374, 354990093980663809]","[695276693362835466, 1010781418458206329, 715923016412037221]",4v4
1118476,2025-02-01,Land Nomad,"[354904864066764804, 695276693362835466, 715923016412037221]","[649505118152294421, 828672992976437267, 354990093980663809]",4v4
1118355,2025-02-01,Land Nomad,"[354904864066764804, 354990093980663809, 715923016412037221]","[435111409320198167, 555011931488911374, 797796953269338133]",4v4
1118354,2025-02-01,Land Nomad,"[622810653878648873, 435111409320198167, 715923016412037221]","[354904864066764804, 555011931488911374, 354990093980663809]",4v4
1118343,2025-02-01,Land Nomad,"[649505118152294421, 354904864066764804, 797796953269338133, 715923016412037221]","[622810653878648873, 435111409320198167, 555011931488911374, 354990093980663809]",4v4
1118315,2025-02-01,Land Nomad,"[622810653878648873, 354904864066764804, 354990093980663809]","[649505118152294421, 435111409320198167, 555011931488911374]",4v4
1118300,2025-02-01,Land Nomad,"[649505118152294421, 435111409320198167, 354990093980663809]","[622810653878648873, 354904864066764804, 715923016412037221]",4v4
