"match_id","at","user_id","rating_before","rating_change","deviation_before","deviation_change","reason"
1073607,2024-11-24 11:55:50,511604233267707925,1216,-14,75,0,4v4
1073607,2024-11-24 11:55:50,715923016412037221,1023,-14,75,0,4v4
1073607,2024-11-24 11:55:50,435111409320198167,1183,14,75,0,4v4
1073607,2024-11-24 11:55:50,1010781418458206329,994,14,75,0,4v4
1073638,2024-11-24 13:07:22,797796953269338133,1092,-10,75,0,4v4
1073638,2024-11-24 13:07:22,354990093980663809,976,10,75,0,4v4
1073638,2024-11-24 13:07:22,695309066771365970,1559,10,75,0,4v4
1073638,2024-11-24 13:07:22,739435983707308062,1126,-10,75,0,4v4
1073638,2024-11-24 13:07:22,1033770965127135333,1578,-10,75,0,4v4
1073638,2024-11-24 13:07:22,828672992976437267,1132,-10,75,0,4v4
1073638,2024-11-24 13:07:22,649505118152294421,1517,10,75,0,4v4
1073638,2024-11-24 13:07:22,715923016412037221,1009,10,75,0,4v4
1073672,2024-11-24 14:02:19,736088924115435550,673,11,75,0,4v4
1073672,2024-11-24 14:02:19,354990093980663809,986,11,75,0,4v4
1073672,2024-11-24 14:02:19,828672992976437267,1122,-11,75,0,4v4
1073672,2024-11-24 14:02:19,1010781418458206329,1008,11,75,0,4v4
1073672,2024-11-24 14:02:19,797796953269338133,1082,-11,75,0,4v4
1073672,2024-11-24 14:02:19,715923016412037221,1019,-11,75,0,4v4
1073672,2024-11-24 14:02:19,458557005385302026,1991,11,75,0,4v4
1073672,2024-11-24 14:02:19,695276693362835466,1330,-11,75,0,4v4
NULL,2024-11-29 17:38:51,1215696184048492608,1000,600,200,-130,manual seeding
1076878,2024-11-29 18:32:09,1010781418458206329,1019,-14,75,0,4v4
1076878,2024-11-29 18:32:09,435111409320198167,1197,-14,75,0,4v4
1076878,2024-11-29 18:32:09,751100943218507815,1591,14,75,0,4v4
1076878,2024-11-29 18:32:09,573073267766722561,2095,-14,75,0,4v4
1076878,2024-11-29 18:32:09,354904864066764804,1546,14,75,0,4v4
1076878,2024-11-29 18:32:10,622810653878648873,1273,30,109,-3,4v4
1076878,2024-11-29 18:32:10,511604233267707925,1202,-14,75,0,4v4
1076878,2024-11-29 18:32:10,797796953269338133,1071,14,75,0,4v4
1076906,2024-11-29 19:20:00,828672992976437267,1111,-14,75,0,4v4
1076906,2024-11-29 19:20:00,1241745368077697135,1881,-14,75,0,4v4
1076906,2024-11-29 19:20:00,573073267766722561,2081,14,75,0,4v4
1076906,2024-11-29 19:20:00,435111409320198167,1183,14,75,0,4v4
