match_id,date,map,team_a_players,team_b_players
849237,2024-02-01,Kawasan (Random Civs),"[410863622139412482, 703469910138814515, 695309066771365970, 635033349206966277]","[657452537506562069, 766331860803780629, 584450667897290784, 426026435417866244]"
849234,2024-02-01,Rage Forest (Random Civs),"[410863622139412482, 703469910138814515, 635033349206966277, 426026435417866244]","[542430914836168744, 766331860803780629, 695309066771365970, 584450667897290784]"
849229,2024-02-01,Arena (Random civs),"[542430914836168744, 695309066771365970, 635033349206966277, 426026435417866244]","[410863622139412482, 703469910138814515, 584450667897290784, 766331860803780629]"
848691,2024-01-31,Beduoins (Random Civs),"[454538560348094466, 348849437101260801, 635025856313557033, 584450667897290784]","[573073267766722561, 725758030221934692, 703469910138814515, 439339450770653185]"
848687,2024-01-31,Land Madness,"[410863622139412482, 725758030221934692, 635025856313557033, 439339450770653185]","[454538560348094466, 348849437101260801, 703469910138814515, 584450667897290784]"
848655,2024-01-31,Haboob (Random Civs),"[348849437101260801, 703469910138814515, 439339450770653185, 695309066771365970]","[313042064332029952, 410863622139412482, 542430914836168744, 697862073173934161]"
848641,2024-01-31,Oasis(Random Civs),"[454538560348094466, 348849437101260801, 410863622139412482, 695309066771365970]","[440386346314498093, 313042064332029952, 703469910138814515, 439339450770653185]"
848616,2024-01-31,Land Nomad (Random Civs),"[657452537506562069, 725758030221934692, 542430914836168744, 695309066771365970]","[348849437101260801, 313042064332029952, 410863622139412482, 703469910138814515]"
848122,2024-01-30,Team Acropolis (Random Civs),"[454538560348094466, 573073267766722561, 463259002596360203, 711266082043854870]","[749079044917690388, 542430914836168744, 849334461773774928, 723567999784583239]"
848108,2024-01-30,Arabia,"[703469910138814515, 697862073173934161, 849334461773774928, 723567999784583239]","[573073267766722561, 749079044917690388, 463259002596360203, 711266082043854870]"
848108,2024-01-30,Arabia,"[703469910138814515, 697862073173934161, 849334461773774928, 723567999784583239]","[573073267766722561, 749079044917690388, 635033349206966277, 711266082043854870]"
848077,2024-01-30,African Clearing (Random Civs),"[313042064332029952, 749079044917690388, 703469910138814515, 635033349206966277]","[454538560348094466, 725758030221934692, 697862073173934161, 463259002596360203]"
848055,2024-01-30,Enclosed- Random Civs,"[573073267766722561, 313042064332029952, 697862073173934161, 463259002596360203]","[348849437101260801, 703469910138814515, 849334461773774928, 723567999784583239]"
848028,2024-01-30,Runestones( Random Civs),"[313042064332029952, 725758030221934692, 439339450770653185, 849334461773774928]","[657452537506562069, 703469910138814515, 723567999784583239, 635033349206966277]"
847996,2024-01-30,4 lakes (Random civs),"[657452537506562069, 703469910138814515, 723567999784583239, 635033349206966277]","[348849437101260801, 313042064332029952, 439339450770653185, 358570022400032768]"
847573,2024-01-29,Hideout(Random Civs),"[657452537506562069, 296465677114671105, 695309066771365970, 503759402206101545]","[440386346314498093, 348849437101260801, 811413902176419860, 542430914836168744]"
847544,2024-01-29,Arena (Random civs),"[495896198444613643, 573073267766722561, 695309066771365970, 223875529600663552]","[348849437101260801, 811413902176419860, 703469910138814515, 439339450770653185]"
847528,2024-01-29,Regicide Fortress (Random Civs),"[657452537506562069, 703469910138814515, 439339450770653185, 503759402206101545]","[495896198444613643, 725758030221934692, 697862073173934161, 695309066771365970]"
847509,2024-01-29,Rage Forest (Random Civs),"[410863622139412482, 703469910138814515, 697862073173934161, 715438374357434401]","[495896198444613643, 695309066771365970, 223875529600663552, 503759402206101545]"
847475,2024-01-29,Ghost Lake,"[657452537506562069, 568857045080473601, 440386346314498093, 584239778740961299]","[332985391546236928, 410863622139412482, 703469910138814515, 715438374357434401]"
846799,2024-01-28,Nomad (Random Civs),"[703469910138814515, 849334461773774928, 715438374357434401, 697860695550722089]","[313042064332029952, 394425164231868416, 767743114575085628, 584239778740961299]"
846778,2024-01-28,Kawasan (Random Civs),"[313042064332029952, 223875529600663552, 714793302582362162, 767743114575085628]","[703469910138814515, 849334461773774928, 394425164231868416, 697860695550722089]"
846765,2024-01-28,Arena Island (NC Zone) (Random Civs),"[703469910138814515, 542430914836168744, 605758375052967937, 715438374357434401]","[313042064332029952, 695309066771365970, 223875529600663552, 697860695550722089]"
846744,2024-01-28,4 lakes (Random civs),"[703469910138814515, 695309066771365970, 394425164231868416, 697860695550722089]","[542430914836168744, 223875529600663552, 714793302582362162, 715438374357434401]"
