match_id,date,map,team_a_players,team_b_players
1083333,2024-12-08,4 lakes (Random civs),"[314461722817593345, 317357930796023828, 631896735337152525, 700792986937589781]","[431327099480047626, 386965257660399619, 229635376212475904, 715438374357434401]"
1083293,2024-12-08,Team Acropolis (Random Civs),"[635025856313557033, 512487301717295104, 714793302582362162, 1291708538573291523]","[811413902176419860, 697862073173934161, 503759402206101545, 697860695550722089]"
1083250,2024-12-08,Hideout(Random Civs),"[431327099480047626, 317357930796023828, 463259002596360203, 715438374357434401]","[386965257660399619, 464205461407924225, 700792986937589781, 568705990489276426]"
1083233,2024-12-08,Hideout(Random Civs),"[697862073173934161, 635025856313557033, 714793302582362162, 1229885069217370293]","[495896198444613643, 631896735337152525, 503759402206101545, 945283728643608619]"
1083168,2024-12-08,4 lakes (Random civs),"[401748724021329920, 697862073173934161, 635025856313557033, 568705990489276426]","[495896198444613643, 1286707470802227285, 715438374357434401, 1229885069217370293]"
1083115,2024-12-08,Enclosed- Random Civs,"[431327099480047626, 317357930796023828, 715438374357434401, 321600706769584128]","[401748724021329920, 635025856313557033, 542430914836168744, 700792986937589781]"
1083106,2024-12-08,Ghost Lake,"[703469910138814515, 811413902176419860, 697862073173934161, 699611550423711766]","[431327099480047626, 635025856313557033, 304272299534581762, 631896735337152525]"
1083103,2024-12-08,Rage Forest (Random Civs),"[401748724021329920, 714793302582362162, 700792986937589781, 584239778740961299]","[317357930796023828, 542430914836168744, 715438374357434401, 321600706769584128]"
1083087,2024-12-08,Land Nomad (Random Civs),"[317357930796023828, 542430914836168744, 1229885069217370293, 584239778740961299]","[401748724021329920, 584450667897290784, 715438374357434401, 635033349206966277]"
1083084,2024-12-08,Enclosed- Random Civs,"[317357930796023828, 401748724021329920, 584450667897290784, 584239778740961299]","[431327099480047626, 715438374357434401, 635033349206966277, 1229885069217370293]"
1083085,2024-12-08,Arabia,"[703469910138814515, 697862073173934161, 304272299534581762, 631896735337152525]","[635025856313557033, 699611550423711766, 849334461773774928, 700792986937589781]"
1083063,2024-12-08,Steppe (Random Civs),"[431327099480047626, 304272299534581762, 635033349206966277, 1229885069217370293]","[317357930796023828, 401748724021329920, 584450667897290784, 715438374357434401]"
1083041,2024-12-08,African Clearing (Random Civs),"[431327099480047626, 698943503509618729, 635033349206966277, 1229885069217370293]","[401748724021329920, 512487301717295104, 584450667897290784, 304272299534581762]"
1083036,2024-12-08,Kawasan (Random Civs),"[568857045080473601, 695309066771365970, 394425164231868416, 584239778740961299]","[697862073173934161, 849334461773774928, 700792986937589781, 723567999784583239]"
1083012,2024-12-08,Kawasan (Random Civs),"[431327099480047626, 304272299534581762, 715438374357434401, 635033349206966277]","[401748724021329920, 542430914836168744, 512487301717295104, 584450667897290784]"
